FeatName	RelFeatImp
worst concavity	-90.24
mean concavity	-3.49
symmetry error	1.93
concavity error	2.07
smoothness error	8.3
mean symmetry	8.7
mean concave points	17.65
area error	17.83
mean fractal dimension	18.13
compactness error	19.73
worst perimeter	21.14
worst symmetry	21.22
concave points error	21.43
mean perimeter	22.64
texture error	24.51
worst compactness	24.68
mean compactness	29.7
worst radius	31.38
radius error	31.82
mean smoothness	33.52
perimeter error	39.24
mean area	42.83
fractal dimension error	43.52
mean texture	51.82
worst texture	52.24
worst fractal dimension	65.44
worst area	67.45
worst smoothness	73.95
worst concave points	87.84
mean radius	100.0
